"","x"
"1",2074.95
"2",460.92
"3",2431.338
"4",4407.444
"5",1193.664
"6",8555.94
"7",5115.144
"8",2036.76
"9",136.974
"10",7699.086
"11",-688.116
"12",281.19
"13",167.762541537266
"14",4345.158
"15",381.09
"16",725.4
"17",30614.4
"18",15.684
"19",1419.612
"20",704.346
"21",8771.742
"22",805.734
"23",2166.684
"24",6687.684
"25",2167.2
"26",2124.876
"27",1184.52
"28",5581.038
"29",5468.34
"30",4890.96032628169
"31",-2134.44
"32",265.722
"33",4495.506
"34",4359.174
"35",1319.838
"36",5262.642
"37",1026.09265746006
"38",4323.564
"39",776.214
"40",83.55
"41",64.086
"42",5283.288
"43",1191.648
"44",266.7
"45",219.96
"46",-4040.4
"47",1278.618
"48",606.894
"49",539.208
"50",27.552
"51",83.55
"52",22.38
"53",1235.82
"54",627.27
"55",505.014
"56",327.138
"57",120.018
"58",5184.354
"59",2987.286
"60",2061.726
"61",6576.264
"62",57.624
"63",2254.152
"64",-14912.898
"65",161.706
"66",1901.748
"67",1270.836
"68",931.47
"69",355.11
"70",3057.378
"71",374.172
"72",172.872
"73",363.168
"74",125.315311776415
"75",2275.896
"76",4092.606
"77",672.12
"78",10438.542
"79",580.854
"80",3027.078
"81",2572.71
"82",2488.93867734337
"83",108.126
"84",5707.836
"85",654.288
"86",257.484
"87",897.954
"88",-3528.648
"89",1965.264
"90",723.27
"91",2606.28
"92",3403.41
"93",2967.42
"94",1648.368
"95",366.966
"96",2226.966
"97",27.012
"98",16.7019344111485
"99",2285.256
"100",82.44
"101",4686.204
"102",3267.534
"103",4683.192
"104",134.448
"105",31.1559728215858
"106",1000.068
"107",2491.308
"108",2384.454
"109",7963.83
"110",161.892
"111",358.086
"112",172.872
"113",27.012
"114",24.0285513470722
"115",1817.166
"116",1118.63427568896
"117",322.122
"118",6990.234
"119",323.088
"120",571.716
"121",2971.266
"122",476.43
"123",1328.976
"124",2026.446
"125",-16601.436
"126",2990.472
"127",696.72
"128",370.481684123352
"129",9165.882
"130",196.38
"131",294.57
"132",2295.504
"133",47.994
"134",11196.594
"135",4190.46203295599
"136",765.432
"137",237.024
"138",3826.512
"139",7694.73
"140",20411.874
"141",8174.928
"142",3717.978
"143",1688.628
"144",1118.412
"145",254.976
"146",4512.924
"147",616.033594341282
"148",-8171.772
"149",-108.384953269042
"150",3461.214
"151",811.818
"152",328.204740195491
"153",10401.654
"154",4290.57
"155",405.726
"156",508.668
"157",31.362
"158",1582.158
"159",2021.508
"160",132.864
"161",5375.802
"162",15522.126
"163",80.262
"164",1499.58
"165",82.44
"166",1989.24
"167",16280.526
"168",1050.438
"169",-13702.962
"170",3293.736
"171",7042.224
"172",3982.734
"173",6559.986
"174",626.52
"175",135.097485235892
"176",2663.676
"177",6483.978
"178",268.288359632099
"179",1526.418
"180",704.754
"181",152.766
"182",1004.274
"183",2.5763495310978
"184",-472.428
"185",5806.476
"186",644.052
"187",1254.744
"188",1125.36
"189",1032.02719980916
"190",745.74
"191",32117.442
"192",8245.78157878821
"193",17536.908
"194",-6632.4
"195",-5464.79182642149
"196",4100.64
"197",25215.144
"198",11604.192
"199",21600.036
"200",4923.858
"201",1291.776
"202",83.748
"203",167.04
"204",14.0095252025127
"205",-452.688
"206",3227.448
"207",1296.864
"208",661.428
"209",127.032
"210",320.802
"211",921.318
"212",137.172
"213",2302.458
"214",1412.298
"215",3144.756
"216",49.536
"217",3.86791736152768
"218",124.944
"219",29.9006036322601
"220",299.436
"221",3332.472
"222",398.644606754433
"223",1899.156
"224",1205.874
"225",4013.586
"226",99.786
"227",127.032
"228",21.738
"229",2136.882
"230",1156.98
"231",-358.062
"232",179.886
"233",42270.528
"234",401.616
"235",241.092
"236",340.752
"237",32.934
"238",3616.41
"239",2774.082
"240",1143.132
"241",9891.516
"242",1953.672
"243",4423.044
"244",1921.68
"245",750.226647670493
"246",306.354
"247",-2046.774
"248",27.012
"249",10749.87
"250",626.724
"251",54.03
"252",-2863.386
"253",8482.05
"254",2608.524
"255",1928.91
"256",-63.402
"257",184.776
"258",10708.602
"259",5723.058
"260",943.566
"261",1829.67
"262",3675.408
"263",2847.33
"264",865.008
"265",4054.422
"266",2056.998
"267",8029.812
"268",355.32
"269",1051.092
"270",-4559.184
"271",6152.37
"272",1667.4843339632
"273",7027.368
"274",1885.704
"275",302.616
"276",1459.38
"277",2322.246
"278",5947.116
"279",3492.678
"280",2457.702
"281",954.432
"282",674.244
"283",1056.432
"284",490.608
"285",10582.056
"286",1799.904
"287",1474.824
"288",5216.154
"289",6129.63
"290",7593.762
"291",298.008
"292",6535.434
"293",3403.46765748486
"294",10828.44
"295",83.544
"296",11074.998
"297",-3548.058
"298",899.592
"299",7383.402
"300",6174.852
"301",3353.2190951972
"302",4824.036
"303",3753.306
"304",126
"305",6528.66
"306",932.778
"307",119.304
"308",4465.848
"309",1299.16480969625
"310",7197.684
"311",12633.192
"312",4573.416
"313",16369.218
"314",19031.04
"315",69.288
"316",1001.352
"317",19130.976
"318",3888.264
"319",11610.12
"320",4123.26
"321",16596.474
"322",16.56
"323",13533.756
"324",7608.09
"325",6758.66375619493
"326",6549.738
"327",7134.564
"328",5352.276
"329",5275.296
"330",238.608
"331",22559.814
"332",12473.424
"333",11847.738
"334",4079.004
"335",3866.91
"336",1678.07597982147
"337",-4798.014
"338",557.502
"339",15368.94
"340",3273.528
"341",10716.042
"342",8722.84946054942
"343",23227.782
"344",21814.692
"345",15971.706
"346",8714.73
"347",1780.254
"348",1637.568
"349",1580.67161516914
"350",5663.106
"351",1179.474
"352",541.788
"353",2574.168
"354",1383.912
"355",7533.996
"356",1249.962
"357",3860.01
"358",7707.624
"359",-2676.528
"360",9967.29
"361",9920.48184805594
"362",5333.598
"363",4842.66
"364",7479.846
"365",-367.512
"366",12356.892
"367",1681.482
"368",9526.38
"369",653.088
"370",9084.336
"371",11790.468
"372",6552.066
"373",7978.674
"374",7930.842
"375",18936.6
"376",433.674
"377",62.8947203019736
"378",5211.294
"379",14597.712
"380",1178.964
"381",4985.034
"382",1863.39881106193
"383",3782.886
"384",13237.17
"385",9479.244
"386",17465.574
"387",21723.102
"388",8725.038
"389",19726.428
"390",1763.046
"391",2996.13
"392",5083.29
"393",4951.17203817664
"394",17316.204
"395",6829.272
"396",8901.366
"397",9302.73
"398",21802.932
"399",7069.758
"400",-4590.282
"401",13753.728
"402",2488.152
"403",13536.816
"404",11489.37
"405",17573.514
"406",-5834.484
"407",13318.086
"408",6175.026
"409",25691.01
"410",16848.7647084373
"411",7499.034
"412",742.344
"413",25297.344
"414",365.382
"415",20518.626
"416",14671.1502921887
"417",3585.984
"418",2845.64117038393
"419",4151.682
"420",3500.49
"421",947.85
"422",24922.596
"423",7707.39
"424",15168.51
"425",10736.994
"426",15804.636
"427",-5564.604
"428",6364.194
"429",2781.942
"430",5275.56
"431",3013.806
"432",11162.172
"433",4815.87
"434",1089.57
"435",10411.11
"436",962.37
"437",13488.348
"438",9864.18
"439",3035.082
"440",3459.852
"441",227.391486792642
"442",11406.978
"443",-1864.158
"444",10293.258
"445",777.984
"446",-29031.6
"447",8118.678
"448",2533.896
"449",13068.354
"450",10478.9416825016
"451",2698.476
"452",19045.428
"453",886.176
"454",4809.924
"455",3031.17
"456",35897.988
"457",1198.458
"458",32074.776
"459",21180.1304469685
"460",424.302
"461",36668.478
"462",530.928
"463",14972.976
"464",26584.122
"465",8522.136
"466",15684.906
"467",1650.108
"468",20382.798
"469",12601.7278453922
"470",1030.32
"471",-9412.8
"472",137.52
"473",16831.272
"474",10828.8183530464
"475",15156.048
"476",10641.114
"477",2649.678
"478",17458.776
"479",4077.918
"480",1434.264
"481",26544.99
"482",8552.55969098708
"483",4780.2
"484",4565.50045681936
"485",4472.406
"486",7254.378
"487",6545.7129252813
"488",1485.936
"489",10416.414
"490",580.068
"491",-13262.244
"492",3537.78
"493",23036.544
"494",154.776
"495",201.744
"496",13992.576
"497",21334.608
"498",6821.094
"499",3253.656
"500",27949.374
"501",11343.342
"502",9681.31866303247
"503",36042.324
"504",9372.72
"505",11755.62
"506",23518.902
"507",23469.666
"508",29488.962
"509",-6355.56
"510",14021.958
"511",4400.454
"512",8210.658
"513",6573.816
"514",1065.948
"515",8671.35
"516",5412.144
"517",7692.864
"518",1768.626
"519",4121.64
"520",4424.682
"521",33.4858857239261
"522",257.232
"523",8740.548
"524",777.984
"525",1106.622
"526",9824.094
"527",9144.96
"528",15553.902
"529",7731.696
"530",-9125.184
"531",6670.92
"532",10306.968
"533",7937.31
"534",2598.156
"535",606.142093941998
"536",12271.308
"537",7092.132
"538",2992.368
"539",5010.456
"540",9296.616
"541",3755.64
"542",47151.708
"543",1293.942
"544",27528.708
"545",10183.44
"546",8096.844
"547",6838.254
"548",4400.802
"549",11908.938
"550",9795.216
"551",11721.39
"552",13023.546
"553",3211.98
"554",65743.062
"555",5555.994
"556",1747.488
"557",30494.976
"558",12166.446
"559",64424.892
"560",53139.648
"561",970.074
"562",7089.21
"563",2696.412
"564",662.778
"565",38198.052
"566",1615.386
"567",7554.738
"568",5654.08022030756
"569",5509.266
"570",3663.636
"571",-79020.9
"572",3675.93
"573",11371.404
"574",33440.736
"575",995.886
"576",8116.05
"577",592.272
"578",1837.296
"579",454.404
"580",281.867664446284
"581",163.848
"582",643.77
"583",787.284
"584",767.178
"585",512.835397037441
"586",3489.27
"587",730.764
"588",0.225245979077183
"589",7881.468
"590",77.82
"591",32.0960107422201
"592",2261.952
"593",5332.284
"594",456.714
"595",1432.29
"596",379.338
"597",8371.77
"598",3236.94
"599",29334.774
"600",7402.626
"601",-21352.812
"602",6496.944
"603",15850.71
"604",45099.378
"605",10240.014
"606",4108.21921065808
"607",1516.572
"608",1127.52
"609",11214.63
"610",5771.562
"611",246.48
"612",123.804
"613",3623.214
"614",448.956
"615",7583.616
"616",11981.568
"617",9039.144
"618",3685.404
"619",24015.348
"620",8242.968
"621",2345.60104716786
"622",597.918
"623",6665.082
"624",6458.43
"625",30017.604
"626",-203.22
"627",5439.096
"628",8886.732
"629",890.472
"630",15615.822
"631",570.742206703839
"632",-6051.246
"633",564.474
"634",7382.16
"635",6459.552
"636",9760.068
"637",29856.366
"638",14163.252
"639",12968.112
"640",15965.166
"641",1976.628
"642",116.22
"643",8514.75
"644",4346.13
"645",27196.818
"646",10966.008
"647",-13397.694
"648",9015.642
"649",3592.194
"650",9088.116
"651",25136.802
"652",19690.986
"653",8183.694
"654",9638.142
"655",9983.496
"656",17682.63
"657",741.655352253222
"658",1687.164
"659",13172.676
"660",5273.652
"661",12524.862
"662",8969.7
"663",6988.59443427573
"664",105.846
"665",18922.02
"666",5937.654
"667",12491.508
"668",53884.542
"669",-18567.996
"670",8655.444
"671",9051.174
"672",10110.786
"673",13465.746
"674",4462.122
"675",8008.104
"676",3520.25449427391
"677",15188.178
"678",4773.546
"679",4253.682
"680",4248.9345744615
"681",3731.184
"682",2319.018
"683",6557.466
"684",-11397.666
"685",-10436.529438883
"686",1448.97
"687",11225.214
"688",11230.872
"689",26866.404
"690",109895.538
"691",1269.702
"692",2149.968
"693",2914.974
"694",26628.3
"695",2753.04234172816
"696",-67080.012
"697",16752.69
"698",22667.724
"699",12485.058
"700",27609.024
"701",12890.958
"702",3382.83
"703",2129.208
"704",434.076991002755
"705",31709.904
"706",82323.324
"707",16291.512
"708",3043.356
"709",11485.872
"710",39675.972
"711",49597.998
"712",44978.844
"713",8183.07
"714",29316.51
"715",35523.906
"716",100412.19
"717",29232.504
"718",-33107.652
"719",18487.248
"720",59146.674
"721",47995.4076066696
"722",61720.914
"723",6086.94
"724",4711.644
"725",17719.572
"726",82275.786
"727",63354.15
"728",6761.87210331154
"729",16335.972
"730",10105.632
"731",2482.428
"732",93656.688
"733",53573.58
"734",19068.882
"735",31135.062
"736",39683.952
"737",77858.85
"738",1564.71823686057
"739",67379.1
"740",41897.04
"741",9601.164
"742",-27536.832
"743",100899.096
"744",22442.964
"745",23104.644
"746",80985.294
"747",50348.754
"748",11473.398
"749",8683.72107785653
"750",16570.866
"751",15227.304
"752",40661.718
"753",47089.992
"754",31328.136
"755",22481.454
"756",5677.668
"757",58263.066
"758",16510.566
"759",18134.622
"760",23732.97
"761",32025.798
"762",11754.8364507517
"763",93434.868
"764",57059.5656988322
"765",-5259.57
"766",18536.166
"767",32244.636
"768",35435.334
"769",34037.5467406742
"770",48063.216
"771",45394.062
"772",-20907.06
"773",8638.602
